Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths,daily cases,daily deaths,posratio
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-06-16,4882.0,3148.0,185.0,14.0,1.0,0.0028676771814829987
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-06-17,5194.0,3203.0,187.0,55.0,2.0,0.01058914131690412
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-06-18,5408.0,3227.0,188.0,24.0,1.0,0.004437869822485207
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-06-19,4373.0,3237.0,189.0,10.0,1.0,0.00228675966155957
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-06-20,4184.0,3256.0,190.0,19.0,1.0,0.004541108986615679
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-06-21,4251.0,3266.0,190.0,10.0,0.0,0.002352387673488591
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-06-22,2843.0,3287.0,190.0,21.0,0.0,0.007386563489271896
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-06-23,5198.0,3302.0,190.0,15.0,0.0,0.0028857252789534437
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-06-26,4011.0,3343.0,191.0,22.0,0.0,0.005484916479680878
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-06-27,5293.0,3366.0,191.0,23.0,0.0,0.0043453617986019275
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-06-28,3993.0,3376.0,191.0,10.0,0.0,0.002504382669671926
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-06-29,3255.0,3390.0,191.0,14.0,0.0,0.004301075268817204
