Entity;Continent;Latitude;Longitude;Average temperature per year;Hospital beds per 1000 people;Medical doctors per 1000 people;GDP/Capita;Population;Median age;Population aged 65 and over (%);Date;Daily tests;Cases;Deaths;Daily Cases
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-05-02;171;789;31;7
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-05-03;197;795;31;6
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-05-04;140;803;31;8
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-05-05;270;820;31;17
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-05-06;255;832;31;12
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-05-07;275;842;31;10
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-05-08;238;850;31;8
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-05-09;224;856;31;6
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-05-10;170;868;31;12
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-05-11;121;872;31;4
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-05-12;243;876;31;4
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-05-13;246;880;31;4
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-05-14;191;898;31;18
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-05-15;219;916;31;18
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-05-16;306;933;31;17
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-05-17;260;946;31;13
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-05-18;168;948;31;2
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-05-19;177;949;31;1
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-05-20;186;964;31;15
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-05-21;204;969;31;5
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-05-22;174;981;31;12
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-05-23;200;989;31;8
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-05-24;146;998;32;9
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-05-25;54;1004;32;6
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-05-26;173;1029;33;25
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-05-27;262;1050;33;21
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-05-28;225;1076;33;26
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-05-29;276;1099;33;23
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-05-30;229;1122;33;23
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-05-31;225;1137;33;15
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-06-01;102;1143;33;6
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-06-02;243;1164;33;21
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-06-03;297;1184;33;20
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-06-04;282;1197;33;13
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-06-05;162;1212;33;15
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-06-06;253;1232;34;20
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-06-07;193;1246;34;14
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-06-08;102;1263;34;17
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-06-09;359;1299;34;36
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-06-10;311;1341;34;42
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-06-11;291;1385;35;44
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-06-12;300;1416;36;31
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-06-13;270;1464;36;48
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-06-14;362;1521;36;57
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-06-15;319;1590;36;69
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-06-16;364;1672;37;82
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-06-17;333;1722;38;50
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-06-18;280;1788;39;66
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-06-19;330;1838;42;50
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-06-20;320;1891;43;53
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-06-21;327;1962;44;71
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-06-22;239;1995;44;33
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-06-23;328;2047;45;52
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-06-24;347;2114;47;67
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-06-25;344;2192;49;78
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-06-26;402;2269;51;77
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-06-27;355;2330;53;61
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-06-28;374;2402;55;72
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-06-29;371;2466;58;64
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-06-30;371;2535;62;69
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-07-01;269;2580;65;45
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-07-02;368;2662;69;82
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-07-03;362;2752;72;90
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-07-04;376;2819;74;67
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-07-05;392;2893;76;74
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-07-06;459;2964;79;71
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-07-07;409;3038;81;74
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-07-08;397;3106;83;68
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-07-09;401;3188;83;82
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-07-10;420;3278;85;90
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-07-11;420;3371;89;93
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-07-12;420;3454;93;83
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-07-13;585;3571;95;117
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-07-14;451;3667;97;96
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-07-15;361;3752;101;85
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-07-16;425;3851;104;99
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-07-17;431;3906;107;55
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-07-18;501;4008;111;102
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-07-19;331;4090;112;82
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-07-20;267;4171;113;81
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-07-21;482;4290;117;119
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-07-22;496;4358;120;68
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-07-23;477;4466;123;108
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-07-24;564;4570;128;104
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-07-25;304;4637;134;67
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-07-26;504;4763;138;126
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-07-27;500;4880;144;117
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-07-28;507;4997;148;117
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-07-29;502;5105;150;108
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-07-30;507;5197;154;92
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-07-31;500;5276;157;79
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-08-01;510;5396;161;120
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-08-02;474;5519;166;123
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-08-03;474;5620;172;101
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-08-04;546;5750;176;130
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-08-05;561;5889;182;139
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-08-06;531;6016;188;127
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-08-07;586;6151;189;135
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-08-08;500;6275;193;124
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-08-09;561;6411;199;136
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-08-10;506;6536;200;125
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-08-11;603;6676;205;140
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-08-12;625;6817;208;141
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-08-13;643;6971;213;154
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-08-14;639;7117;219;146
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-08-15;650;7260;225;143
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-08-16;626;7380;228;120
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-08-17;501;7499;230;119
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-08-18;932;7654;232;155
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-08-19;864;7812;234;158
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-08-20;847;7967;238;155
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-08-21;864;8119;240;152
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-08-22;837;8275;245;156
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-08-23;785;8427;250;152
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-08-24;947;8605;254;178
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-08-25;870;8759;259;154
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-08-26;878;8927;263;168
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-08-27;865;9083;266;156
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-08-28;801;9195;271;112
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-08-29;796;9279;275;84
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-08-30;803;9380;280;101
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-08-31;820;9513;284;133
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-09-01;812;9606;290;93
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-09-02;856;9728;296;122
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-09-03;835;9844;301;116
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-09-04;857;9967;306;123
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-09-05;860;10102;312;135
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-09-06;847;10255;316;153
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-09-07;824;10406;319;151
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-09-08;830;10553;321;147
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-09-09;852;10704;322;151
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-09-10;870;10860;324;156
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-09-11;875;11021;327;161
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-09-12;872;11185;330;164
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-09-13;877;11353;334;168
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-09-14;862;11520;338;167
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-09-15;810;11672;340;152
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-09-16;824;11816;343;144
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-09-17;817;11948;347;132
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-09-18;833;12073;353;125
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-09-19;836;12226;358;153
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-09-20;844;12385;362;159
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-09-21;809;12535;364;150
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-09-22;825;12666;367;131
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-09-23;887;12787;370;121
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-09-24;852;12921;370;134
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-09-25;808;13045;373;124
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-09-26;811;13153;375;108
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-09-27;832;13259;377;106
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-09-28;824;13391;380;132
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-09-29;820;13518;384;127
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-09-30;842;13649;387;131
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-10-01;1013;13806;388;157
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-10-02;1085;13965;389;159
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-10-03;1008;14117;392;152
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-10-04;963;14266;396;149
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-10-05;912;14410;400;144
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-10-06;905;14568;403;158
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-10-07;914;14730;407;162
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-10-08;971;14899;411;169
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-10-09;932;15066;413;167
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-10-10;960;15231;416;165
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-10-11;943;15399;420;168
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-10-12;952;15570;424;171
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-10-13;1055;15752;429;182
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-10-14;1351;15955;434;203
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-10-15;1398;16212;439;257
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-10-16;1402;16501;443;289
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-10-17;1289;16774;448;273
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-10-18;1276;17055;451;281
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-10-19;1413;17350;454;295
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-10-20;1407;17651;458;301
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-10-21;1375;17948;462;297
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-10-22;1405;18250;465;302
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-10-23;1412;18556;469;306
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-10-24;1329;18858;473;302
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-10-25;1315;19157;477;299
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-10-26;1304;19445;480;288
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-10-27;1278;19729;487;284
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-10-28;1397;20040;493;311
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-10-29;1422;20315;499;275
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-10-30;1534;20634;502;319
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-10-31;1260;20875;509;241
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-11-01;1472;21202;518;327
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-11-02;1446;21523;527;321
